taxon_species_name,latitude,longitude
Clathrus archeri,48.949923,22.6928687
Clathrus archeri,48.1198232,23.0318181
Clathrus archeri,48.7114913,23.1850055
Clathrus archeri,48.7724472,23.0974009
Clathrus archeri,48.35636,23.1045732
Clathrus archeri,48.5937008,23.5738109
Clathrus archeri,48.5342941,23.5968719
Clathrus archeri,48.4493055,22.7117106
Clathrus archeri,48.5206301,22.723114
Clathrus archeri,47.9739665,24.0086251
Clathrus archeri,48.5428567,22.9948916
Clathrus archeri,47.9557094,23.8775791
Clathrus archeri,48.0006147,23.6966322
Clathrus archeri,48.6208,22.287883
Clathrus archeri,48.6541216,22.3433482
Clathrus archeri,48.2856494,23.4356427
Clathrus archeri,48.0615596,24.8211382
Clathrus archeri,48.878812,23.8262641
Clathrus archeri,49.1132204,24.4098062
Clathrus archeri,48.3181015,24.9937597
Clathrus archeri,48.3135026,25.0822289
Clathrus archeri,48.56302,24.4803568
Clathrus archeri,48.8526332,24.1386159
Clathrus archeri,48.7449025,24.1735498
Clathrus archeri,48.3053757,24.4702592
Clathrus archeri,50.1603676,23.8831486
Clathrus archeri,49.7840108,24.7901478
Clathrus archeri,49.839683,24.029717
Clathrus archeri,49.8122096,24.1435555
Clathrus archeri,49.1557117,23.8674568
Clathrus archeri,49.7965969,23.1501342
Clathrus archeri,49.6964415,24.0171142
Clathrus archeri,49.6528217,24.0216983
Clathrus archeri,49.578198,23.3664274
Clathrus archeri,48.97596,23.3773672
Clathrus archeri,49.5048262,22.8988386
Clathrus archeri,49.1895728,23.9696786
Clathrus archeri,49.0475158,23.0403066
Clathrus archeri,50.015466,23.5466891
Hericium coralloides,44.676383,34.41005
Hericium coralloides,44.7995945,34.4841521
Hericium coralloides,45.031933,35.382433
Hericium coralloides,44.952117,34.102417
Hericium coralloides,44.4909462,34.1532686
Hericium coralloides,49.4413155,32.0643442
Hericium coralloides,49.751033,31.4697
Hericium coralloides,49.841526,31.6417697
Hericium coralloides,48.2924827,25.9356008
Hericium coralloides,48.5168792,26.1579254
Hericium coralloides,48.2097114,25.1804078
Hericium coralloides,48.6329614,35.2241571
Hericium coralloides,49.0440881,37.578484
Hericium coralloides,48.9764573,23.9892458
Hericium coralloides,49.0838417,24.6941842
Hericium coralloides,49.1355068,24.6501761
Hericium coralloides,48.3181015,24.9937597
Hericium coralloides,48.3135026,25.0822289
Hericium coralloides,48.3162239,24.9330261
Hericium coralloides,48.3018229,25.0353754
Hericium coralloides,48.3343908,24.8195808
Hericium coralloides,48.56302,24.4803568
Hericium coralloides,49.490864,24.5724522
Hericium coralloides,48.2834458,24.5670568
Hericium coralloides,49.6311739,36.3111739
Hericium coralloides,49.1926163,26.2492577
Hericium coralloides,48.746033,32.5682293
Hericium coralloides,50.3268905,30.5672193
Hericium coralloides,50.6445031,29.9146299
Hericium coralloides,49.839683,24.029717
Hericium coralloides,49.2539914,23.3783028
Hericium coralloides,49.957869,25.1529594
Hericium coralloides,49.408891,23.3850249
Hericium coralloides,49.6692136,24.5593173
Hericium coralloides,49.7140071,24.0018454
Hericium coralloides,49.3778922,23.1395213
Hericium coralloides,48.97596,23.3773672
Hericium coralloides,48.9739733,23.4704622
Hericium coralloides,48.9040638,23.1840558
Hericium coralloides,49.1895728,23.9696786
Hericium coralloides,49.154057,23.0280056
Hericium coralloides,49.8914292,23.8380437
Hericium coralloides,49.9854267,23.6295845
Hericium coralloides,49.9411991,23.9085999
Hericium coralloides,49.8956448,23.7687251
Hericium coralloides,50.0588756,23.9736471
Hericium coralloides,49.9712114,23.9701891
Hericium coralloides,49.9453331,23.9673483
Hericium coralloides,49.3853385,24.1421827
Hericium coralloides,49.8820814,24.8767591
Hericium coralloides,49.7840108,24.7901478
Hericium coralloides,49.8919007,24.9649463
Hericium coralloides,49.7727056,24.6902359
Hericium coralloides,47.7159812,31.4062735
Hericium coralloides,51.5489435,33.3860497
Hericium coralloides,50.4810642,34.9654364
Hericium coralloides,49.4438882,24.9361397
Hericium coralloides,49.3379202,25.6167597
Hericium coralloides,48.3327727,23.1413859
Hericium coralloides,48.1734633,23.2972476
Hericium coralloides,48.5858906,23.6891102
Hericium coralloides,48.4674529,22.7635932
Hericium coralloides,48.5206301,22.723114
Hericium coralloides,48.1391697,24.2936895
Hericium coralloides,48.2772222,24.1522222
Hericium coralloides,48.1495982,24.2824443
Hericium coralloides,48.1391697,24.2936895
Hericium coralloides,48.801283,22.7130612
Hericium coralloides,48.5428567,22.9948916
Hericium coralloides,48.5428567,22.9948916
Hericium coralloides,48.6699994,22.9868897
Hericium coralloides,48.5428567,22.9948916
Hericium coralloides,48.6208,22.287883
Hericium coralloides,48.6524522,22.3967252
Hericium coralloides,48.6208,22.287883
Hericium coralloides,48.940919,22.5887571
Hericium coralloides,49.233083,28.468217
Hericium coralloides,51.241786,24.712953
